Responded at,Presenter,Screen name,Activity type,Activity title,Response options,Your response,Correct,Confirmation message
09/04/18 10:05 PM,coms4701,Jing Q.,Open ended,"What comes to mind when you think ""artificial intelligence""?","",Inspiring!,"",""
09/04/18 10:50 PM,coms4701,Jing Q.,Open ended,What is one thing you want to take away from this course?,"",a brief idea of AI and preparation for future interests,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,Move left,Percept | Action,Action,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,Sweep,Percept | Action,Action,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,Current location,Percept | Action,Percept,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,Do nothing,Percept | Action,Action,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,Move right,Percept | Action,Action,"",""
09/06/18 10:03 PM,coms4701,Jing Q.,Multiple choice,IsDirty?,Percept | Action,Percept,"",""
09/11/18 10:08 PM,coms4701,Jing Q.,Multiple choice,How big is the search tree for this graph?,Two | Four | Five | Infinite,Two,"",""
09/13/18 10:25 PM,coms4701,Jing Q.,Multiple choice,Which solution does A* return?,S-A-G | S-G,S-G,"",""
09/18/18 10:49 PM,coms4701,Jing Q.,Multiple choice,Which of these assignments should occur next (break ties in numerical order)?,Q1=2 | Q3=1 | Q4=1 | Q4=3,Q4=3,"",""
09/20/18 10:22 PM,coms4701,Jing Q.,Multiple choice,How many possible solutions are left after performing arc consistency?,0 | 1 | 2 | 3 | 4,3,"",""
09/27/18 09:57 PM,coms4701,Jing Q.,Clickable image,Which are the branches eliminated by alpha-beta pruning?,region:other | Region 1 | Region 2 | Region 3 | Region 4 | Region 5 | Region 6 | Region 7 | Region 8 | Region 9,"Click (outside defined region): 43.44%, 91.98%","",""
09/27/18 10:41 PM,coms4701,Jing Q.,Multiple choice,Which action should red take to maximize its utility?,Left | Right,Left,"",""
10/02/18 10:29 PM,coms4701,Jing Q.,Multiple choice,For what value of $$\gamma$$ will both exit states be equally good from state d?,$$0.1^2$$ | $$\sqrt{0.1}$$ | $$0.1^3$$ | $$\sqrt[3]{0.1}$$,$$\sqrt{0.1}$$,"",""
10/23/18 10:39 PM,coms4701,Jing Q.,Multiple choice,What is P(rain | dry)?,0.74 | 0.08 | 0.06 | 0.17,0.08,"",""
10/25/18 10:29 PM,coms4701,Jing Q.,Multiple choice,What is $$P(X_1=rain | X_2=sun)$$?,0.2 | 0.1 | 0.08 | 0.06,0.1,"",""
11/08/18 11:29 PM,coms4701,Jing Q.,Ranking,Match the probability distributions with the correct factoring.,"$$P(M,J)$$ | $$P(B,E|A)$$ | $$P(A,B)$$ | $$P(M|A,J)$$","$$P(A,B)$$, $$P(M,J)$$, $$P(B,E|A)$$, $$P(M|A,J)$$","",""
11/13/18 11:14 PM,coms4701,Jing Q.,Multiple choice,Which additional node must be conditioned on so that A and E are independent?,F | B | G | D | none (already independent),none (already independent),"",""
11/27/18 11:05 PM,coms4701,Jing Q.,Multiple choice,"Which weights would separate the data with the features $$(1,x_1,x_2,|x_1|)$$?","$$(1,0,1,-1)$$ | $$(0,1,-1,-1) | $$(0,0,-1,-1)$$ | $$(1,0,-1,-1)$$","$$(1,0,-1,-1)$$","",""
